id,sex,country,city,bdate
85027081,Male,Россия,Нижний Новгород,Unfiled_bdate
85003459,Male,Россия,Екатеринбург,Unfiled_bdate
84911801,Male,Россия,Смоленск,Unfiled_bdate
84879699,Male,Россия,Москва,Unfiled_bdate
84837227,Male,Россия,Москва,Unfiled_bdate
84827382,Male,Россия,Нефтекамск,1999
84822110,Male,Россия,Санкт-Петербург,1996
84780677,Female,Россия,Подольск,Unfiled_bdate
84764575,Male,Россия,Москва,1993
84748075,Male,Россия,Псков,Unfiled_bdate
84738183,Male,Казахстан,Unfiled_city,1996
84645427,Male,Россия,Курск,1997
84618809,Male,Россия,Москва,Unfiled_bdate
84580658,Male,Россия,Unfiled_city,1983
84547002,Male,Россия,Unfiled_city,Unfiled_bdate
84508365,Male,Аргентина,Buenos Aires,Unfiled_bdate
84506662,Male,Россия,Нижний Новгород,1998
84474087,Male,Россия,Зеленогорск,1993
84450268,Male,Россия,Unfiled_city,Unfiled_bdate
84287517,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
84256094,Male,Россия,Щекино,Unfiled_bdate
84185908,Male,Россия,Москва,Unfiled_bdate
84174892,Male,Россия,Йошкар-Ола,Unfiled_bdate
84096608,Male,Россия,Москва,Unfiled_bdate
84093550,Male,Украина,Мариуполь,Unfiled_bdate
84053465,Male,Россия,Магнитогорск,1996
84041315,Male,Россия,Санкт-Петербург,Unfiled_bdate
83984946,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
83982885,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
83963975,Male,Россия,Саратов,1996
83933984,Male,Россия,Москва,Unfiled_bdate
83874306,Male,Unfiled_country,Unfiled_city,1995
83874235,Female,Россия,Абакан,Unfiled_bdate
83853495,Male,Россия,Иркутск,Unfiled_bdate
83832674,Male,Россия,Уфа,1996
83728168,Male,Россия,Волгоград,Unfiled_bdate
83703299,Male,Россия,Новосибирск,1993
83654729,Male,Unfiled_country,Unfiled_city,1999
83632224,Female,Unfiled_country,Unfiled_city,1996
83579354,Male,Россия,Смоленск,1993
83568848,Male,Украина,Киев,Unfiled_bdate
83514739,Female,Россия,Москва,1994
