id,sex,country,city,bdate,years,range_years
8627951,Male,Россия,Ульяновск,1991,30,Старше 27
8554816,Male,Россия,Северодвинск,1983,38,Старше 27
8548194,Male,Россия,Бузулук,1983,38,Старше 27
8494730,Male,Россия,Unfiled_city,2005,16,Младше 18
8491871,Male,Россия,Череповец,1991,30,Старше 27
8491586,Male,Россия,Unfiled_city,1988,33,Старше 27
8487627,Male,Россия,Unfiled_city,1992,29,Старше 27
8487337,Male,Россия,Воркута,1984,37,Старше 27
8452217,Male,Россия,Москва,1982,39,Старше 27
8430043,Male,Россия,Подольск,1993,28,Старше 27
8414264,Male,Россия,Санкт-Петербург,1990,31,Старше 27
8397288,Male,Россия,Владивосток,1990,31,Старше 27
8375635,Male,Россия,Великий Новгород,1984,37,Старше 27
8374040,Male,Россия,Санкт-Петербург,1993,28,Старше 27
8343217,Male,Россия,Ростов-на-Дону,1988,33,Старше 27
8342503,Male,Россия,Тула,1982,39,Старше 27
8296361,Male,Россия,Москва,1989,32,Старше 27
8244110,Male,Россия,Москва,1990,31,Старше 27
8222416,Male,Россия,Иркутск,1990,31,Старше 27
8114898,Male,Россия,Unfiled_city,1985,36,Старше 27
8087726,Male,Россия,Москва,1993,28,Старше 27
8077004,Male,Россия,Новосибирск,1981,40,Старше 27
8065333,Male,Россия,Петрозаводск,1985,36,Старше 27
8050177,Male,Россия,Уфа,1993,28,Старше 27
8048769,Male,Россия,Санкт-Петербург,1994,27,23-27
8024985,Male,Россия,Санкт-Петербург,1994,27,23-27
8018767,Male,Россия,Вологда,1991,30,Старше 27
8018363,Male,Россия,Москва,1991,30,Старше 27
8011820,Male,Россия,Петропавловск-Камчатский,1988,33,Старше 27
7952896,Male,Россия,Краснодар,1985,36,Старше 27
7943435,Male,Россия,Брянск,1985,36,Старше 27
7908522,Male,Россия,Самара,1991,30,Старше 27
7901452,Male,Россия,Воронеж,1989,32,Старше 27
7836535,Male,Россия,Ижевск,1991,30,Старше 27
7822859,Male,Россия,Новый Уренгой,1984,37,Старше 27
7809575,Male,Россия,Москва,1994,27,23-27
7807432,Male,Россия,Москва,1991,30,Старше 27
7797172,Male,Россия,Москва,1991,30,Старше 27
7752061,Male,Россия,Пермь,1989,32,Старше 27
7748975,Male,Россия,Симферополь,1987,34,Старше 27
7717720,Male,Россия,Новосибирск,1995,26,23-27
7656980,Female,Россия,Москва,1993,28,Старше 27
7622235,Female,Россия,Пермь,1985,36,Старше 27
7616362,Male,Россия,Москва,1984,37,Старше 27
7598447,Male,Россия,Киров,1987,34,Старше 27
7590055,Male,Россия,Набережные Челны,1990,31,Старше 27
7583450,Male,Россия,Екатеринбург,1988,33,Старше 27
7570316,Male,Россия,Москва,1993,28,Старше 27
7555456,Male,Россия,Киров,1984,37,Старше 27
7546450,Male,Россия,Смоленск,1988,33,Старше 27
7539289,Male,Россия,Москва,1990,31,Старше 27
7533884,Male,Россия,Казань,1990,31,Старше 27
7511962,Male,Россия,Рязань,1990,31,Старше 27
7502994,Male,Россия,Санкт-Петербург,1992,29,Старше 27
7472748,Male,Россия,Петрозаводск,1989,32,Старше 27
7446243,Male,Россия,Москва,1989,32,Старше 27
7440087,Male,Россия,Архангельск,1989,32,Старше 27
7437311,Male,Россия,Москва,1991,30,Старше 27
7424448,Male,Россия,Зеленоград,1993,28,Старше 27
7420644,Male,Россия,Санкт-Петербург,1989,32,Старше 27
7406228,Male,Россия,Красногорск,1994,27,23-27
7305288,Male,Россия,Unfiled_city,1988,33,Старше 27
7300773,Male,Россия,Екатеринбург,1990,31,Старше 27
7216720,Male,Россия,Москва,1993,28,Старше 27
7191025,Male,Россия,Новосибирск,1991,30,Старше 27
7189888,Male,Россия,Калининград,1991,30,Старше 27
7185845,Male,Россия,Москва,1990,31,Старше 27
7178503,Male,Россия,Зеленоград,1992,29,Старше 27
7155305,Male,Россия,Unfiled_city,1991,30,Старше 27
7136889,Male,Россия,Новокузнецк,1991,30,Старше 27
7116145,Male,Россия,Одинцово,1988,33,Старше 27
7077358,Male,Россия,Москва,1995,26,23-27
7055837,Male,Россия,Санкт-Петербург,1996,25,23-27
7050961,Male,Россия,Королёв,1985,36,Старше 27
7046357,Male,Россия,Самара,1987,34,Старше 27
7044967,Male,Россия,Москва,1991,30,Старше 27
7012970,Male,Россия,Екатеринбург,1991,30,Старше 27
6965420,Male,Россия,Санкт-Петербург,1992,29,Старше 27
6920306,Male,Россия,Санкт-Петербург,1981,40,Старше 27
6897261,Male,Россия,Екатеринбург,1987,34,Старше 27
6892511,Male,Россия,Москва,1990,31,Старше 27
6875452,Male,Россия,Сургут,1988,33,Старше 27
6860002,Male,Россия,Краснодар,1987,34,Старше 27
6850172,Male,Россия,Москва,1983,38,Старше 27
6838080,Male,Россия,Пермь,1990,31,Старше 27
6817293,Male,Россия,Санкт-Петербург,1987,34,Старше 27
6807770,Male,Россия,Санкт-Петербург,1993,28,Старше 27
6805256,Male,Россия,Великий Новгород,1980,41,Старше 27
6782052,Male,Россия,Нижний Новгород,1995,26,23-27
6763869,Male,Россия,Москва,1986,35,Старше 27
6755236,Male,Россия,Unfiled_city,1992,29,Старше 27
6751642,Male,Россия,Нижний Новгород,1993,28,Старше 27
6746719,Male,Россия,Санкт-Петербург,1985,36,Старше 27
6735695,Male,Россия,Красноярск,1989,32,Старше 27
6724211,Male,Россия,Москва,1990,31,Старше 27
6699709,Male,Россия,Санкт-Петербург,1991,30,Старше 27
6669768,Male,Россия,Новосибирск,1989,32,Старше 27
6639437,Male,Россия,Санкт-Петербург,1995,26,23-27
6635239,Male,Россия,Москва,1992,29,Старше 27
6628865,Male,Россия,Санкт-Петербург,1995,26,23-27
6623505,Male,Россия,Балаково,1989,32,Старше 27
6601368,Male,Россия,Екатеринбург,1984,37,Старше 27
6571470,Male,Россия,Красноярск,1990,31,Старше 27
6560608,Male,Россия,Москва,1992,29,Старше 27
6543222,Male,Россия,Екатеринбург,1984,37,Старше 27
6540017,Male,Россия,Краснодар,1990,31,Старше 27
6539478,Male,Россия,Первоуральск,1988,33,Старше 27
6515597,Male,Россия,Москва,1985,36,Старше 27
6478264,Male,Россия,Москва,1991,30,Старше 27
6476580,Male,Россия,Москва,1990,31,Старше 27
6448927,Male,Россия,Unfiled_city,1992,29,Старше 27
6431757,Male,Россия,Санкт-Петербург,1994,27,23-27
6384511,Male,Россия,Екатеринбург,1990,31,Старше 27
6361351,Male,Россия,Unfiled_city,1989,32,Старше 27
